timestamp,A_Pre1945,B_19461983,C_19842010,D_Post2011,Average of temperatureatmospherique
1/6/2020 1:00,2.1926,1.696210169,1.332373333,1.340204651,0.833333333
1/6/2020 2:00,2.4196,1.772338983,1.239946667,1.335627907,0.9
1/6/2020 3:00,2.5805,1.530040678,1.151093333,1.303702326,0.666666667
1/6/2020 4:00,2.5735,1.980284746,1.344746667,1.428781395,-0.166666667
1/6/2020 5:00,2.3583,1.747749153,1.821333333,1.554083721,-0.733333333
1/6/2020 6:00,3.4573,1.805450847,1.698933333,1.677711628,-1.633333333
1/6/2020 7:00,3.1025,2.054094915,1.531253333,1.774660465,-2.266666667
1/6/2020 8:00,3.4212,2.146820339,1.688533333,1.91787907,-2.666666667
1/6/2020 9:00,3.375,2.096481356,1.870293333,1.556316279,-2.7
1/6/2020 10:00,2.7897,2.481701695,1.822293333,1.927088372,-2.433333333
1/6/2020 11:00,3.3308,2.180461017,2.328746667,1.704167442,-2.566666667
1/6/2020 12:00,2.4677,1.923579661,1.767626667,1.617934884,-2.733333333
1/6/2020 13:00,3.4258,2.18379661,1.624746667,1.52667907,-2.5
1/6/2020 14:00,2.5702,1.90120678,1.76464,1.384465116,-2.933333333
1/6/2020 15:00,2.5255,2.154630508,1.775626667,1.43464186,-3.4
1/6/2020 16:00,4.1748,2.223071186,1.988266667,2.18612093,-4.066666667
1/6/2020 17:00,3.2348,2.369389831,2.791306667,2.03815814,-4.9
1/6/2020 18:00,3.8161,2.736528814,2.372533333,2.142306977,-5.933333333
1/6/2020 19:00,3.6804,2.708481356,2.448213333,2.010195349,-6.2
1/6/2020 20:00,3.2434,2.623566102,2.23728,1.894102326,-6.6
1/6/2020 21:00,3.1536,2.61400678,1.786986667,1.807590698,-6.766666667
1/6/2020 22:00,3.6795,2.166610169,1.898826667,1.564967442,-7
1/6/2020 23:00,2.5205,2.104433898,1.871093333,1.326753488,-7.366666667
1/7/2020 0:00,3.003,2.071891525,1.682026667,1.45172093,-8.033333333
1/7/2020 1:00,2.2579,2.02940339,1.722933333,1.581209302,-7.8
1/7/2020 2:00,2.2572,1.877430508,1.530133333,1.638306977,-7.9
1/7/2020 3:00,2.9889,1.765708475,1.654133333,1.659237209,-8.2
1/7/2020 4:00,3.2929,1.909728814,1.589386667,1.482362791,-8.466666667
1/7/2020 5:00,3.1446,2.045084746,2.1368,1.554753488,-8.733333333
1/7/2020 6:00,3.5086,2.302088136,2.288266667,1.695795349,-8.7
1/7/2020 7:00,4.003,2.402440678,1.791146667,1.73252093,-8.766666667
1/7/2020 8:00,2.943,2.171369492,1.88496,1.856483721,-8.9
1/7/2020 9:00,3.4593,2.340549153,1.91264,1.639255814,-8.533333333
1/7/2020 10:00,3.5553,2.286386441,1.876106667,1.860948837,-8.066666667
1/7/2020 11:00,3.5405,2.40860339,1.76352,1.926976744,-7.3
1/7/2020 12:00,3.6551,2.064427119,1.711093333,1.763162791,-6.633333333
1/7/2020 13:00,2.4653,2.396094915,1.89792,1.667386047,-6.4
1/7/2020 14:00,2.4135,2.496142373,2.164693333,1.45624186,-6.166666667
1/7/2020 15:00,2.6618,2.319335593,2.03312,1.893153488,-5.933333333
1/7/2020 16:00,4.1728,2.416881356,2.310773333,2.222176744,-6.2
1/7/2020 17:00,3.3697,2.554983051,2.241653333,2.009525581,-6.866666667
1/7/2020 18:00,3.7478,2.807572881,2.441226667,1.807534884,-7.833333333
1/7/2020 19:00,3.7082,2.608820339,2.1016,1.768744186,-9.033333333
1/7/2020 20:00,3.5652,2.514610169,2.129866667,1.568930233,-10.8
1/7/2020 21:00,3.6008,2.375898305,2.452213333,2.355069767,-11.8
1/7/2020 22:00,2.9504,2.355579661,2.51744,1.685525581,-12.66666667
1/7/2020 23:00,3.3005,2.526650847,2.218453333,1.65812093,-13.43333333
1/8/2020 0:00,3.4535,2.028162712,2.100426667,1.88187907,-14.36666667
1/8/2020 1:00,3.54,2.468745763,2.131573333,1.745860465,-14.96666667
1/8/2020 2:00,3.6125,2.194352542,1.75312,1.9056,-15.9
1/8/2020 3:00,3.7635,2.487071186,2.15376,2.070753488,-16.6
1/8/2020 4:00,3.6881,2.370183051,2.192,1.85224186,-17.63333333
1/8/2020 5:00,4.2384,2.532081356,2.36176,2.043962791,-18.43333333
1/8/2020 6:00,3.3679,2.607498305,2.5264,2.01544186,-19.16666667
1/8/2020 7:00,3.5547,2.939308475,2.591946667,2.114009302,-19.7
1/8/2020 8:00,4.0889,2.735654237,2.2792,1.804688372,-19.8
1/8/2020 9:00,4.4189,2.883559322,2.464266667,2.0664,-19.1
1/8/2020 10:00,4.1398,2.852542373,2.869493333,2.042567442,-17.6
1/8/2020 11:00,4.0516,2.772162712,2.583093333,2.127181395,-16.56666667
1/8/2020 12:00,3.9966,2.686413559,2.35696,1.886511628,-15.83333333
1/8/2020 13:00,3.9337,2.803545763,2.469226667,1.670567442,-14.86666667
1/8/2020 14:00,3.5217,2.96060339,2.368373333,1.87384186,-14.83333333
1/8/2020 15:00,4.2077,3.068562712,2.537066667,2.098102326,-14.53333333
1/8/2020 16:00,4.2476,3.167898305,2.934666667,2.323255814,-15.06666667
1/8/2020 17:00,4.2697,3.078854237,2.761813333,2.368130233,-15.2
1/8/2020 18:00,4.8813,2.918542373,3.170613333,1.911516279,-14.46666667
1/8/2020 19:00,4.1467,3.36219661,2.673866667,2.001934884,-13.83333333
1/8/2020 20:00,4.1895,2.727030508,2.186933333,2.141246512,-13.4
1/8/2020 21:00,5.0198,2.447816949,2.377973333,2.150344186,-13.33333333
1/8/2020 22:00,3.9024,2.602738983,2.168746667,2.147497674,-13.53333333
1/8/2020 23:00,3.6559,2.605789831,1.912853333,1.929153488,-12.23333333
1/9/2020 0:00,2.8969,2.129857627,1.886026667,1.646288372,-11
1/9/2020 1:00,4.0173,2.316650847,1.900693333,1.479013953,-10.93333333
1/9/2020 2:00,3.2179,2.329830508,1.727413333,1.524781395,-9.6
1/9/2020 3:00,4.083,2.413037288,1.62288,1.870716279,-9.133333333
1/9/2020 4:00,3.949,2.311261017,1.929653333,1.666548837,-9.2
1/9/2020 5:00,4.4562,2.206291525,2.063893333,1.741172093,-9.8
1/9/2020 6:00,3.8719,2.258725424,2.311253333,1.804632558,-8.233333333
1/9/2020 7:00,3.2074,2.444949153,1.719573333,1.656223256,-7.633333333
1/9/2020 8:00,4.8434,2.856854237,1.994453333,1.644613953,-6.6
1/9/2020 9:00,3.1852,2.507959322,2.209653333,1.948074419,-6.666666667
1/9/2020 10:00,3.3608,2.503281356,2.73968,1.731460465,-4.933333333
1/9/2020 11:00,3.9334,2.710759322,2.45696,1.731237209,-4.333333333
1/9/2020 12:00,3.253,2.824738983,2.374026667,1.586455814,-3.6
1/9/2020 13:00,3.6226,2.619864407,2.503466667,1.919051163,-2.966666667
1/9/2020 14:00,3.9449,2.429735593,2.142986667,1.904483721,-2.2
1/9/2020 15:00,2.7924,2.836922034,2.18912,2.074660465,-1.366666667
1/9/2020 16:00,4.2044,2.839464407,2.510506667,2.161004651,-0.533333333
1/9/2020 17:00,3.1483,2.798420339,2.277226667,2.129916279,1.166666667
1/9/2020 18:00,2.5754,2.734108475,2.409546667,2.109711628,1.4
1/9/2020 19:00,3.7828,2.500352542,2.38608,2.248018605,0.933333333
1/9/2020 20:00,2.9322,2.282277966,2.656746667,1.750102326,-0.033333333
1/9/2020 21:00,2.8393,2.390989831,2.317333333,1.876688372,-1.366666667
1/9/2020 22:00,2.3693,2.192237288,2.172213333,1.582269767,-2.766666667
1/9/2020 23:00,2.6602,2.059281356,2.00192,1.508372093,-4.133333333
1/10/2020 0:00,3.6451,2.100305085,1.882933333,1.507869767,-5.766666667
1/10/2020 1:00,2.8929,1.989071186,1.700746667,1.355553488,-7.5
1/10/2020 2:00,2.7092,2.012745763,1.9016,1.617097674,-8.833333333
1/10/2020 3:00,2.5569,2.298386441,1.871573333,1.659795349,-10.36666667
1/10/2020 4:00,3.9341,2.334427119,1.920213333,1.900967442,-11.4
1/10/2020 5:00,3.9277,2.55439322,2.641973333,1.858102326,-12.13333333
1/10/2020 6:00,3.669,2.709010169,2.680373333,2.068186047,-12.7
1/10/2020 7:00,3.9165,2.727518644,2.201173333,2.296297674,-12.76666667
1/10/2020 8:00,4.7042,2.491627119,1.728746667,2.131255814,-12.9
1/10/2020 9:00,3.8904,2.638433898,1.995146667,1.882548837,-12.6
1/10/2020 10:00,3.6416,2.43939661,1.959893333,1.710474419,-12.6
1/10/2020 11:00,3.4568,2.283925424,2.016106667,1.718176744,-11.83333333
1/10/2020 12:00,3.195,2.166386441,2.13008,1.868204651,-11.03333333
1/10/2020 13:00,3.6152,2.199416949,2.13696,1.539125581,-11.13333333
1/10/2020 14:00,4.6974,2.420664407,2.06272,1.589804651,-11.23333333
1/10/2020 15:00,3.5327,2.696949153,2.403146667,2.044297674,-11.53333333
1/10/2020 16:00,4.6958,2.872942373,2.943733333,2.501190698,-12.3
1/10/2020 17:00,5.4623,3.276386441,3.221813333,2.825804651,-12.93333333
1/10/2020 18:00,4.3864,3.22000678,2.572266667,2.401674419,-14
1/10/2020 19:00,4.739,3.210284746,2.543626667,2.566493023,-15.16666667
1/10/2020 20:00,4.4097,3.0732,2.438133333,2.176855814,-16.23333333
1/10/2020 21:00,4.82,3.286372881,2.841813333,2.531776744,-16.9
1/10/2020 22:00,4.5168,3.181647458,2.822986667,2.081972093,-18.13333333
1/10/2020 23:00,3.8415,2.9076,2.48368,2.262530233,-19.26666667
1/11/2020 0:00,4.1872,2.974738983,2.278613333,2.277823256,-20.23333333
1/11/2020 1:00,4.8151,3.125064407,2.320693333,2.210065116,-21.26666667
1/11/2020 2:00,4.1319,2.842840678,2.55856,2.265209302,-22.1
1/11/2020 3:00,4.3985,2.782861017,2.50432,2.434269767,-23
1/11/2020 4:00,4.3378,2.969369492,2.620906667,2.344186047,-23.73333333
1/11/2020 5:00,4.0193,3.217891525,3.034773333,2.283572093,-24.3
1/11/2020 6:00,4.6539,3.309701695,3.36336,2.502418605,-24.7
1/11/2020 7:00,4.7927,3.551613559,3.11392,2.770102326,-25.26666667
1/11/2020 8:00,5.3982,3.373952542,3.14832,2.383590698,-25.46666667
1/11/2020 9:00,3.3569,3.37820339,2.899626667,2.432483721,-24.93333333
1/11/2020 10:00,4.5449,3.340291525,2.7104,2.232055814,-23.93333333
